DNI,CLIENTE,IBAN,TIPO_CUENTA,SALDO
74839201Z,Javier Alvarez,ES83 0030 1111 0000 1111 0000,Cuenta IVA,3500.00
56473829R,Carmen Fernandez,ES09 1490 0011 2233 4455 6677,Cuenta Familia,3500.00
56473829R,Carmen Fernandez,ES08 1490 9999 8888 7777 6666,Ahorro Estudios,12000.00
10293847T,Francisco Moreno,ES21 0234 5678 9012 3456 7890,Cuenta Nómina,28900.00
10293847T,Francisco Moreno,ES20 0234 1234 4321 1234 4321,Cuenta Ocio,1500.00
65748392W,Raquel Jimenez,ES54 3005 0099 8877 6655 4433,Cuenta Ahorro,450.00
65748392W,Raquel Jimenez,ES53 3005 5555 6666 7777 8888,Tarjeta Débito,1200.00
29384756Y,Pedro Romero,ES98 0182 4567 8901 2345 6789,Cuenta Expansión,56000.00
29384756Y,Pedro Romero,ES97 0182 1122 3344 5566 7788,Cuenta Valores,15000.00
84756392A,Marta Navarro,ES33 2100 8765 4321 0987 6543,Cuenta Principal,18200.75
84756392A,Marta Navarro,ES32 2100 9999 0000 1111 2222,Cuenta Ahorro,6000.00
57483920B,Alejandro Torres,ES77 0049 5544 3322 1100 9988,Cuenta Holding,5000000.00
57483920B,Alejandro Torres,ES78 0049 1212 3434 5656 7878,Cuenta Operativa,250000.00
57483920B,Alejandro Torres,ES79 0049 9090 8080 7070 6060,Caja Fuerte,100000.00
18273645C,Sofia Dominguez,ES11 2038 6655 4433 2211 0099,Cuenta Joven,7500.25
18273645C,Sofia Dominguez,ES10 2038 1111 2222 3333 4444,Ahorro Viaje,2000.00
94857612D,Daniel Gil,ES45 3025 9988 7766 5544 3322,Cuenta Estudiante,320.00
94857612D,Daniel Gil,ES46 3025 5555 4444 3333 2222,Cuenta Beca,1500.00
27364518E,Miguel A. Vazquez,ES10 2100 1234 5678 9012 3456,Cuenta Nómina,12500.00
27364518E,Miguel A. Vazquez,ES11 2100 8765 4321 0987 6543,Cuenta Común,4500.00
73645182F,Lucia Serrano,ES20 0049 9876 5432 1098 7654,Cuenta Ahorro,45600.80
73645182F,Lucia Serrano,ES21 0049 1122 3344 5566 7788,Cuenta Inversión,10000.00
73645182F,Lucia Serrano,ES22 0049 6677 8899 0011 2233,Tarjeta Black,5000.00
36451827G,Paula Ramos,ES30 0182 1111 2222 3333 4444,Cuenta Diaria,3400.00
36451827G,Paula Ramos,ES31 0182 5555 6666 7777 8888,Hucha Coche,5000.00
45182736H,Adrian Blanco,ES40 3025 5555 6666 7777 8888,Cuenta Freelance,8900.50
45182736H,Adrian Blanco,ES41 3025 1234 5678 9012 3456,Cuenta Impuestos,2500.00
51827364J,Diego Molina,ES50 2038 9999 8888 7777 6666,Cuenta Básica,150.00
51827364J,Diego Molina,ES51 2038 1111 0000 1111 0000,Cuenta Ahorro,50.00
82736451K,Sara Castro,ES60 0075 4444 3333 2222 1111,Cuenta Nómina,67000.00
82736451K,Sara Castro,ES61 0075 1212 3434 5656 7878,Plan Pensiones,35000.00
82736451K,Sara Castro,ES62 0075 9090 8080 7070 6060,Cuenta Reformas,12000.00
64518273L,Jorge Ortiz,ES70 1465 7777 8888 9999 0000,Cuenta Personal,23000.25
64518273L,Jorge Ortiz,ES71 1465 2222 3333 4444 5555,Cuenta Conjunta,1500.00
28374651M,Natalia Rubio,ES80 0081 2222 4444 6666 8888,Cuenta Ahorro,9800.00
28374651M,Natalia Rubio,ES81 0081 9999 8888 7777 6666,Tarjeta Crédito,2000.00
91827364N,Ivan Marin,ES90 0030 1357 2468 1357 2468,Cuenta VIP,120000.00
91827364N,Ivan Marin,ES91 0030 8642 9753 8642 9753,Inversión Oro,50000.00
91827364N,Ivan Marin,ES92 0030 1234 5678 1234 5678,Cuenta Dólares,25000.00
56172839P,Claudia Sanz,ES01 2100 8642 9753 8642 9753,Cuenta Nómina,4500.75
56172839P,Claudia Sanz,ES02 2100 1111 2222 3333 4444,Cuenta Viaje,1200.00
17283940Q,Sergio Iglesias,ES11 2085 0000 1111 2222 3333,Cuenta Joven,2500.00
17283940Q,Sergio Iglesias,ES12 2085 5555 4444 3333 2222,Ahorro Consola,400.00
72839405R,Irene Medina,ES21 1490 9999 0000 1111 2222,Cuenta Principal,34500.00
72839405R,Irene Medina,ES22 1490 1212 3434 5656 7878,Cuenta Secundaria,5000.00
28394051S,Pablo Garrido,ES31 0234 3333 4444 5555 6666,Cuenta Básica,890.00
28394051S,Pablo Garrido,ES32 0234 9876 5432 1098 7654,Cuenta Ahorro,200.00
83940512T,Alba Cortes,ES41 3005 7777 8888 9999 0000,Cuenta Nómina,15600.50
83940512T,Alba Cortes,ES42 3005 1122 3344 5566 7788,Cuenta Alquiler,800.00
39405128V,Victor Castillo,ES51 0182 1212 3434 5656 7878,Cuenta Personal,6700.00
39405128V,Victor Castillo,ES52 0182 9988 7766 5544 3322,Tarjeta Compras,300.00
94051283X,Marina Santos,ES61 2100 9090 8080 7070 6060,Cuenta Ahorro,23000.00
94051283X,Marina Santos,ES62 2100 2233 4455 6677 8899,Cuenta Boda,8000.00
94051283X,Marina Santos,ES63 2100 5555 5555 5555 5555,Cuenta Reserva,2000.00
40512839Y,Ruben Lozano,ES71 0049 5656 4545 3434 2323,Cuenta Nómina,45000.25
40512839Y,Ruben Lozano,ES72 0049 1234 1234 1234 1234,Inversión RoboAdvisor,15000.00
05128394Z,Patricia Guerrero,ES81 2038 1122 3344 5566 7788,Cuenta Joven,120.00
05128394Z,Patricia Guerrero,ES82 2038 9876 5432 9876 5432,Ahorro Verano,50.00
51283940A,Jesus Cano,ES91 3025 9988 7766 5544 3322,Cuenta Empresa,89000.00
51283940A,Jesus Cano,ES92 3025 1111 2222 1111 2222,Cuenta Dividendos,12000.00
51283940A,Jesus Cano,ES93 3025 3333 4444 3333 4444,Tarjeta Oro,5000.00
12839405B,Noelia Prieto,ES02 2100 2233 4455 6677 8899,Cuenta Corriente,3400.50
12839405B,Noelia Prieto,ES03 2100 6666 7777 8888 9999,Cuenta Común,1200.00
68291054C,Alberto Mendez,ES12 0049 1234 4321 1234 4321,Cuenta Nómina,1500.00
68291054C,Alberto Mendez,ES13 0049 9090 9090 9090 9090,Cuenta Coche,3000.00
29105468D,Beatriz Calvo,ES22 0182 9876 6789 9876 6789,Cuenta Principal,56000.00
29105468D,Beatriz Calvo,ES23 0182 1212 1212 1212 1212,Fondo Inversión,20000.00
91054682E,Oscar Gallego,ES32 3025 1111 0000 1111 0000,Cuenta Básica,230.00
91054682E,Oscar Gallego,ES33 3025 5555 5555 5555 5555,Hucha Digital,50.00
05468291F,Lorena Vidal,ES42 2038 5555 4444 5555 4444,Cuenta Ahorro,7800.00
05468291F,Lorena Vidal,ES43 2038 9999 9999 9999 9999,Cuenta Ocio,500.00
54682910G,Andres Cruz,ES52 0075 2222 3333 2222 3333,Cuenta Nómina,45000.50
54682910G,Andres Cruz,ES53 0075 1111 2222 1111 2222,Cuenta Secundaria,10000.00
54682910G,Andres Cruz,ES54 0075 8888 8888 8888 8888,Tarjeta Platinum,3000.00
46829105H,Cristina Campos,ES62 1465 8888 9999 8888 9999,Cuenta Personal,12000.00
46829105H,Cristina Campos,ES63 1465 3333 3333 3333 3333,Ahorro Boda,5000.00
68295014J,Roberto Vega,ES72 0081 6666 7777 6666 7777,Cuenta Nómina,3400.25
68295014J,Roberto Vega,ES73 0081 1234 5678 9012 3456,Cuenta Gastos,800.00
82950146K,Silvia Fuentes,ES82 0030 4444 5555 4444 5555,Cuenta Joven,890.50
82950146K,Silvia Fuentes,ES83 0030 9876 9876 9876 9876,Cuenta Master,200.00
29501468L,Fernando Diez,ES92 2100 1234 5678 1234 5678,Cuenta Inversión,156000.00
29501468L,Fernando Diez,ES93 2100 5656 5656 5656 5656,Cuenta Liquidez,30000.00
29501468L,Fernando Diez,ES94 2100 1111 1111 1111 1111,Cartera Acciones,80000.00
95014682M,Monica Reyes,ES03 2085 9876 5432 9876 5432,Cuenta Ahorro,2300.00
95014682M,Monica Reyes,ES04 2085 2222 2222 2222 2222,Tarjeta Crédito,500.00
50146829N,Raul Cabot,ES13 1490 1111 2222 1111 2222,Cuenta Nómina,4500.00
50146829N,Raul Cabot,ES14 1490 8888 7777 6666 5555,Cuenta Moto,1500.00
01468295P,Celia Aguilar,ES23 0234 3333 4444 3333 4444,Cuenta Principal,67000.75
01468295P,Celia Aguilar,ES24 0234 0000 0000 0000 0000,Cuenta Secundaria,10000.00
01468295P,Celia Aguilar,ES25 0234 9999 9999 9999 9999,Ahorro Largo Plazo,25000.00
14682950Q,Enrique Pascual,ES33 3005 5555 6666 5555 6666,Cuenta Joven,120.50
14682950Q,Enrique Pascual,ES34 3005 1234 1234 1234 1234,Hucha,20.00
46829501R,Angela Santana,ES43 0182 7777 8888 7777 8888,Cuenta Ahorro,3400.00
46829501R,Angela Santana,ES44 0182 5555 5555 5555 5555,Cuenta Viajes,800.00
82950147S,Ricardo Herrero,ES53 2100 9999 0000 9999 0000,Cuenta Nómina,8900.25
82950147S,Ricardo Herrero,ES54 2100 1111 2222 3333 4444,Tarjeta Compra,1000.00
29501478T,Julia Montero,ES63 0049 1212 3434 1212 3434,Cuenta Personal,15000.00
29501478T,Julia Montero,ES64 0049 6767 6767 6767 6767,Cuenta Estudios,5000.00
95014782V,Guillermo Hidalgo,ES73 2038 5656 7878 5656 7878,Cuenta Ahorro,23000.50
95014782V,Guillermo Hidalgo,ES74 2038 9090 9090 9090 9090,Inversión BTC,8000.00
50147829W,Rocio Gimenez,ES83 3025 9090 8080 9090 8080,Cuenta Básica,450.00
50147829W,Rocio Gimenez,ES84 3025 1234 4321 1234 4321,Tarjeta Joven,100.00
01478295X,Hugo Ibanez,ES93 2100 2323 4545 2323 4545,Cuenta Nómina,6700.00
01478295X,Hugo Ibanez,ES94 2100 8888 8888 8888 8888,Ahorro Coche,2000.00
14782950Y,Ariadna Ferrer,ES04 0049 6767 8989 6767 8989,Cuenta Principal,12000.75
14782950Y,Ariadna Ferrer,ES05 0049 1111 0000 1111 0000,Cuenta Reserva,3000.00
47829501Z,Mario Duran,ES14 0182 1234 0987 1234 0987,Cuenta Ahorro,3400.25
47829501Z,Mario Duran,ES15 0182 5555 4444 3333 2222,Cuenta Gastos,500.00
78295014A,Clara Santiago,ES24 3025 4321 7890 4321 7890,Cuenta Joven,890.00
78295014A,Clara Santiago,ES25 3025 9999 8888 7777 6666,Hucha Digital,150.00
82950147B,Marcos Benitez,ES34 2038 1111 9999 1111 9999,Cuenta Nómina,15600.00
82950147B,Marcos Benitez,ES35 2038 1234 5678 1234 5678,Tarjeta Crédito,2000.00
29501478C,Alicia Vargas,ES44 0075 2222 8888 2222 8888,Cuenta Ahorro,2300.50
29501478C,Alicia Vargas,ES45 0075 5656 5656 5656 5656,Cuenta Compras,300.00
95014782D,Jordi Mora,ES54 1465 3333 7777 3333 7777,Cuenta Empresa,45000.00
95014782D,Jordi Mora,ES55 1465 9090 9090 9090 9090,Cuenta Impuestos,10000.00
95014782D,Jordi Mora,ES56 1465 1111 2222 3333 4444,Cuenta Personal,5000.00
50147829E,Esther Vicente,ES64 0081 4444 6666 4444 6666,Cuenta Nómina,6700.25
50147829E,Esther Vicente,ES65 0081 8888 9999 0000 1111,Ahorro Vacaciones,1500.00
01478295F,Emilio Arias,ES74 0030 5555 5555 5555 5555,Cuenta Patrimonio,120000.50
01478295F,Emilio Arias,ES75 0030 1234 1234 1234 1234,Inversión Inmobiliaria,60000.00
14782950G,Miriam Carmona,ES84 2100 1234 1234 1234 1234,Cuenta Ahorro,3400.00
14782950G,Miriam Carmona,ES85 2100 9876 9876 9876 9876,Cuenta Boda,1000.00
47829501H,Felix Crespo,ES94 2085 4321 4321 4321 4321,Cuenta Nómina,8900.75
47829501H,Felix Crespo,ES95 2085 5555 5555 5555 5555,Tarjeta Viaje,1200.00
78295014J,Lidia Roman,ES05 1490 9876 9876 9876 9876,Cuenta Básica,150.25
78295014J,Lidia Roman,ES06 1490 1111 1111 1111 1111,Hucha,10.00
82950147K,Samuel Soto,ES15 0234 6789 6789 6789 6789,Cuenta Principal,23000.00
82950147K,Samuel Soto,ES16 0234 2222 3333 4444 5555,Cuenta Ahorro,5000.00
29501478L,Victoria Pastor,ES25 3005 1111 2222 1111 2222,Cuenta Nómina,4500.50
29501478L,Victoria Pastor,ES26 3005 9999 0000 9999 0000,Cuenta Ocio,800.00
95014782M,Gonzalo Velasco,ES35 0182 3333 4444 3333 4444,Cuenta Ahorro,67000.00
95014782M,Gonzalo Velasco,ES36 0182 1212 3434 5656 7878,Plan Inversión,30000.00
95014782M,Gonzalo Velasco,ES37 0182 5555 6666 7777 8888,Cuenta Divisa,5000.00
50147829N,Sonia Saez,ES45 2100 5555 6666 5555 6666,Cuenta Joven,1200.25
50147829N,Sonia Saez,ES46 2100 1111 2222 1111 2222,Ahorro Universidad,400.00
01478295P,Miquel Moya,ES55 0049 7777 8888 7777 8888,Cuenta Nómina,3400.00
01478295P,Miquel Moya,ES56 0049 9090 9090 9090 9090,Cuenta Coche,1000.00
14782950Q,Berta Soler,ES65 2038 9999 0000 9999 0000,Cuenta Ahorro,8900.50
14782950Q,Berta Soler,ES66 2038 1234 5678 1234 5678,Cuenta Gastos,1500.00
47829501R,Aitor Parra,ES75 3025 1234 5678 1234 5678,Cuenta Principal,15600.75
47829501R,Aitor Parra,ES76 3025 8888 7777 6666 5555,Cuenta Secundaria,3000.00
78295014S,Nuria Bravo,ES85 2100 8765 4321 8765 4321,Cuenta Básica,230.00
78295014S,Nuria Bravo,ES86 2100 1111 1111 1111 1111,Hucha,50.00
82950147T,Pau Gallart,ES95 0049 1122 3344 1122 3344,Cuenta Inversión,45000.00
82950147T,Pau Gallart,ES96 0049 2222 3333 4444 5555,Cuenta Liquidez,10000.00
29501478V,Carlota Esteban,ES06 0182 5566 7788 5566 7788,Cuenta Nómina,6700.50
29501478V,Carlota Esteban,ES07 0182 9999 8888 7777 6666,Ahorro Emergencia,1200.00
95014782W,Joan Rojas,ES16 3025 9988 7766 9988 7766,Cuenta Personal,12000.00
95014782W,Joan Rojas,ES17 3025 5555 4444 3333 2222,Cuenta Viajes,2500.00
50147829X,Elisa Pardo,ES26 2038 2233 4455 2233 4455,Cuenta Ahorro,3400.25
50147829X,Elisa Pardo,ES27 2038 1212 1212 1212 1212,Hucha Virtual,300.00
01478295Y,Borja Merino,ES36 0075 6677 8899 6677 8899,Cuenta Joven,890.00
01478295Y,Borja Merino,ES37 0075 0000 0000 0000 0000,Tarjeta Prepago,100.00
14782950Z,Ines Franco,ES46 1465 0011 2233 0011 2233,Cuenta Nómina,15000.50
14782950Z,Ines Franco,ES47 1465 9999 9999 9999 9999,Ahorro Vivienda,5000.00
